stars,comment
4.0 out of 5 stars,"









  
  
    
  My mom got this phone after using oneplus 5t for 2 years and for change she wanted to try iOS. As she is not a heavy user and not a pixel peeper and also inclines towards fancy colored phones[previously lava red 5t] I thought of advising her to go for iPhone 11. Now coming to the phone or should I say iPhone, it is really a good one fulfilling many of its duties; I'll just list out a few points regarding the phone:Pros:A great camera with realistic colors[not highly saturated]The best video recording on a mobile[as of Feb 2020]Somewhere between great to excellent battery lifeThe software experience is great if you're into ""apple way"" of things and the whole experience is just FLUIDICThe phone feels expensive and gives you a feel-good factor and also the build is pretty stellar even if some people are commenting that it's sides are alluminium and not steel.Cons:Many buyers and even youtubers are saying that the display is great and you wont notice the difference in day to day life but I dont want to sugarcoat things! The display is DECENT and NOT great! In day to day life with texting applications and general usage of phone you wont feel any difference, that is correct, BUT when you get into media apps like youtube, NETFLIX, ... etc you will notice the difference of lower resolution. there's just no escaping that fact.You will also notice a great difference in screenshots containing text.The display, in my opinion, would be the main deal breaker for me but in my case the phone is for my mom and she's not a tech geek and she's loving the purple color and the camera of the phone.And also if you're into data transferring between your phone and your laptop[windows laptop] this phone will frustrate you for sure. For this I will suggest you to rely on cloud based services and not on manual cable sync process.Conclusion with personal thoughts:Overall the phone is a great one if you're not a tech geek and want the latest iPhone. It's also a great pick for those who want great hardware with flagship tech but prefer watching media on laptop or smart TV.

  
"
5.0 out of 5 stars,"









  
  
    
  Phenomenal is the word , apple finally clicks in India with its predatory pricing and top notch feature which makes it hard to let go.The battery is running strong and the added extra camera is a plus. Apple you aced this one.

  
"
5.0 out of 5 stars,"









  
  
    
  1.Very fast No comparison with 8,12,12Gh rams.  2. Camera great beyond MPs 48mp is nothing . Iphone  camera is fast far batter.3. No comparison Androids 11.4 Light weight5ThankUApple. TODAY 19 July 2020 MY PHONE FALLEN FROM 1st floor ON HARD SURFACE. After CHECKING-0 SCRATCHIEST.——great great

  
"
5.0 out of 5 stars,"









  
  
    
  First i would like to write about the Online Shopping Platform : AMAZON.Amazon is and i believe will be the best and the most trusted e-commerce brands in the country.Speculations and scepticism about whether or not, you should buy electronics from Amazon, will always be there.But my answer would be, GO FOR IT.I did buy this product from Amazon and it is AUTHENTIC.No doubts remain anymore.Well that being said, nothing is permanent.I TRUST IN AMAZON, when i think about buying anything from Apples to Apple Iphone.Keep it up.Good delivery, on time.Amidst the lockdown wave, starting 13th July, Midnight.I got it on the morning of 13th. So no complaints.Delivery: Good.Product Packaging: Very Good.Notifications: Good.Shopping Experience: Good.About the product, well you guys, know about it very well already.One stop shop for all my shopping needs.AMAZON is the way to go !

  
"
5.0 out of 5 stars,"









  
  
    
  Camera is too good, smooth touch, fantastic sound quality, fantastic look, and performance is too good

  
"
4.0 out of 5 stars,"









  
  
    
  Excellent phone so far. Bought it for more secure access. Fortunately amazon delivery this time was good (my past delivery experience have been bad).On downside, this phone is heavy as brick. Compared to similarly sized s10... this is too heavy.  Single hand use easily tired fingers and hand. Pictures are great but the wide angle is not good on people as it distorts edges in pictures. Speaker sound is also slightly mutted. Face id fails occasionally.I can live with most of the issues but the weight of phone is dissapointing

  
"
5.0 out of 5 stars,"









  
  
    
  Okay, So All QHD+ screen Android users like me, you will definitely notice a difference in the HD LCD panel for first 3 days of your new iPhone 11 usage but post that you will be use to it and wont be able to differentiate substantially.A 13 BIONIC CHIP was something new, wont talk about fastness or snappy features, just know that it wont lag under any circumstances.Camera is actually good and above all android users will find the output photos to  be realistic than what we usually used to see in ANDROID that means NO LEEPA POTI by default.There is a different depth that you will notice in almost all photos.Videos are Super Stable ++.Ultra wide comes in handy for good instagram shots.IOS takes a couple of days to get use to, like using whatsapp / other apps which have different approaches in selecting images from gallery etc. but its user eccentric.Battery lasts a whole one day , on papers its approx. 3100 mah but will get the work done.5w charger good for people who wake up at 7 and put their phone on charging.Built quality solid.Games run butter smooth, but not a phone for heavy Gamers.Once you get an iphone, you will automatically be tempted to enter the ECOSYSTEM, so get ready to spend bucks on Airpods and iwatch because TASHAN tabhi aayega. (also they work best together)Overall I would say you will feel missing out on ceratin features from ANDROID but you will feel plus in some aspects.And When you enter an apple showroom with an iphone in your hand, salesman jyada poochta hai. so you feel great!!All in all Buy it because more productivity and optimum usage comes when you play less games and work more with your phone.

  
"
3.0 out of 5 stars,"









  
  
    
  The Battery cannot hold up for long, also let me point the very obvious 18W charger getting a miss from the box and still isn’t up to the current Unix-Linux run, Google Android OS phones like Samsung’s A 30’s which cost about 12-15k come with 15W chargers..Camera: Night Mode is only useful if there is some kind of light it just can’t help but over expose the pictures and make them fee like they are from a Feature phone in the early years.Sound & Call Quality also NetworkSound is spot on both the music and audio or video calls are crystal clear.. I must add the front firing speaker was a great addition but what will make it more interesting will be if they can make the other vent for just acoustics into a speaker and have three instead of a dummy vent!Network with any kind of case on will have issues of poor and unstable connection.Camera:The Live Photo’s with the new hardware module just works superb with decent lighting. It wouldn’t take you more than a couple of seconds to figure out what should be your frame with the sensor throughly doing its job picking up subjects, colors, shadows and adding the Apple magic in every photo :PI would’ve preferred an Apple insurance or any warranty extension, we are all aware how the exchange and sale value on these phones are like lately!

  
"
5.0 out of 5 stars,"









  
  
    
  Well i received a proper iPhone not a brick. 😛Received it in 2 days of order, everything as hopped and beyond expectations (expectation was receiving a brick in box 😂)They have improved their services and we can trust on amazon to deliver what they show.Thanks for discount and no cost options

  
"
1.0 out of 5 stars,"









  
  
    
  I am having Mike n speaker issue, n due to lockdown I dint got chance to return it, but I dint expected this Frm amazon surely not with product like APPLE

  
"
5.0 out of 5 stars,"









  
  
    
  Had preordered it arrived at the same day when it was officially out on retail store. Prompt delivery and with excellent packaging. Been using a few days and for me it’s an excellent upgrade from 7 to 11. Full review I will be dropping later after few days of regular usage. N I love the pastel green color 😊

  
"
5.0 out of 5 stars,"









  
  
    
  From the last 3 months, i was waiting for the best possible phone in every aspect. I got to know about iphone 11 being one of the best selling apple products. Watched lots of videos on youtube related to unboxing, reviews. Especially i was looking for cons rather than pros. I got to know that the display not being oled is not that good. Then i compared it with iphone 11 pro and i got to know that build and display is only better in pro model, except that everything is same. I came to a decision of buying the iphone 11 and purchased it on prime day sale on 62k with discounts. From the last 3 weeks have been using iphone 11 as my primary phone and i can say it has been the best decision of my life. ios is buttery smooth, its 120hz touch response rate gives you a 90hz refresh rate feeling. No lag whatsoever. Ram management is superb. Sound quality is topline having that loud stereo speakers. Though i can say the speakers are not as loud as what i had seen in asus rog 3(being a reviewer on youtube) i get review units. Next the battery life is as good as a 5000mah android phone. It can easily last for a day and a half with moderate usage including gaming. The display might be not that vibrant and saturated like oled panels but its super bright and the blacks are much richer than what you see on other lcd panels(afterall its apple, you get what you pay). Finally the camera makes you feel like so great. The photos might not look that good in phone but transfer it to your pc, you will see the clarity of the camera. Video quality is superb. So overall a must buy if you are planning to invest in a phone which can last for the upcoming 5yrs. Hope my review helps ppl still deciding whether to buy iphone 11 or not.

  
"
4.0 out of 5 stars,"









  
  
    
  I am a first time and new iphone user after decades of Android ownership - Blackberry and OnePlus 3 this past decade. One of the main reasons for buying the iphone 11 was price came down during independence day sale week!This is why I decided against a new OnePlus:1. Ear piece on the phone is extremely poor even with calls on speaker.2. Camera is beyond awful. Problems 1 and 2 could not be resolved even after giving piece to OnePlus dealer.3. In the 4th year, weird things started happening - calls without showing caller, youtube plays without volume, calls with caller Id but with no volume, among other problems.That said, user interface and general phone speed were good and reception was decent. As I'm planning a Mac, decided to get iphone and based on reviews, decided to get 11 instead of X or SE primarily because of A13.I'm a regular user and am not active on social media and don't use phone for gaming either. Uses are - calls and basic browsing. As I'm working from home, don't even use it for Amazon, Netflix etc which I see on TV. So, based on this usage, here's my one-week review.First, I was apprehensive on what Apple sells with the phone so I even bought a wireless charger (https://www.amazon.in/gp/product/B085W5BQ5H/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1) and Basics ear phone. Thankfully, iphone 11 comes with charger and earphones.Appearance of 11 - given my usage etc., I don't particularly care for looks of any phone - as long as ergonomically convenient, I'm fine. The phone feels lighter than my OnePLus 3 and even Samsung M21. Sleek and looks good. However, I would recommend red colour if you don't mind it - black is a little staid and anyway you use covers for phones.User interface - I didn't have any problem with OnePlus and so far, Apple seems to be fine. sufficient speed in opening and closing apps and easy to navigate. I just figured how to toggle screens - it's a little tougher than on Android phones, but I guess you will figure it out.Camera - compared to OnePlus - AWESOME. incredibly sharp, the night camera is awesome and it's got panorama as well.Speaker - AWESOME. given my problem with One Plus, this is awesome.Charger and battery - stock charger is decent - but it does take about 2 hours to charge from 20%. Battery life lasts easily 24+ hours. But then my usage is also minimal - right now I'm charging once in 2 days. Wireless charging (RAEGR Arc 400) is quite slow. the OnePlus was amazing in this area and fast charge is missed.earphones - Thankfully iphone 11 uses charger jack for earphones. the stock ear phone is decent - fits snugly and has decent wire length and audio is decent. the Amazon basics one is also decent.Overall user experience:Pros - a good overall experience and barring minor points stated below, i'm happy with the iphone 11.Downloading and installation of Apps - straghtforward and decent.Call signal quality etc. - quite good, no complaints.Don’t worry about Face ID it works well in the dark as well. If it doesn’t you just need to use your passcode so it isn’t bad. For the most part it’s quit consistent. Keyboard experience more or less similar to android so nothing different there either.Cons - 1. it appears that phone numbers can't be copy-pasted from internet to dial pad - and it's a pain.2. screen/mirror casting isn't working on a Croma TV as easily or sometimes at all.3. easy of navigation between Chrome Windows on Google isn't as easy as on Android - you can easily move back and forth between tabs opened on Google - can't do that that easily here.One other point - transfer of data from Android to iphone was hardly a problem - the iphone takes you through the process. Data gets backed up to your iCloud and you can access it and deal with it.Hope this review helps next buyer.

  
"
1.0 out of 5 stars,"









  
  
    
  worst phone and worst service..I bought from amazon and new phone had excessive heating issue..tried contacting amazon but no help was given..wasted my money n then had to run after apple people for new phome defect and its been 2 weeks i dont hav my phone..dont buy atleasr from amazon

  
"
5.0 out of 5 stars,"









  
  
    
  Everything about this phone is amazing!And Amazon’s delivery is glitch-free. Order without a care!Received a perfectly sealed box, and inside was this beauty.Anyone looking for an upgrade from the iPhone6/7/8 should definitely consider this cause this phone is leagues ahead.The Camera Quality is amongst the best so far.Low Light Pictures take some time.Battery- A full charge lasts more than a day’s use with moderate usage.

  
"
1.0 out of 5 stars,"









  
  
    
  So the charger adapter is the old the 5w one but in other videos i have seen it has the new one i feel like something is wrong.

  
"
1.0 out of 5 stars,"









  
  
    
  The touch is intermittent...sometimes great... sometimes doesn’t respond. Heavy. Network receiver not working properly. What else to say... feeling cheated....After one month.....Now it’s been over a month since I have been using it and I feel that it’s the worst product from Apple. I don’t know what’s the reason but even after two updates, I feel that the touch is not working well and it keeps hanging on. The camera is not very wow but works well (looking at the price it’s not something really great...this much is expected at least). Also, the Face ID doesn’t work most of the times. And it takes more than 5 seconds to realise that it now needs to show up the regular pin/pattern to unlock. Even otherwise, I personally don’t find Face ID to be successful. To be true my four year old nephew finds it really easy to open this as he would keep my phone ready to capture my attention and would say something that would lead me to look at the phone unknowingly.

  
"
5.0 out of 5 stars,"









  
  
    
  The only word to use for this Phone would be ""Perfect"". It's a perfect piece of art. I was fed up from using android phones and just wanted to move to the ios Platform. I was confused Between iPhone X and iPhone 11 and after a lot of Research and Youtube Searches, I Chose iPhone 11 and trust me it was one for the best decisions of my life. The UI is super smooth, the Build quality is amazing and the camera is just beauty. I am just falling in love with this phone. Although its a little bit costly but trust me its worth spending money on this piece of tech.Pros -- Camera is Amazing- Water-resistant- 4K Recording- Fluid Smooth touch- Never Lags in Heavy Gaming- And 100s of more ProsCons -- Haven't found any yet !!!So if you want to Switch to ios platform from android then just go for it and Chose iPhone 11 as your next device.

  
"
5.0 out of 5 stars,"









  
  
    
  Bought iPhone 11 recently. I must admit - this phone is super cool. Design is good. Purple color looks fresh & soothing to your eyes. I was confused between mint green & this color but when i compared both at one of the apple stores, i just couldn't resist ordering the purple. During the launch of the phone, the new two cameras design appeared weird but when you unbox the phone it looks Stunning. Night mode is also too good. Looks more natural & true to life. This phone is a must buy!

  
"
5.0 out of 5 stars,"









  
  
    
  Bought it at 59k on prime day . Worth every single penny . If you are thinking about buying it just go ahead and buy it . I was an android user from the very beginning . My first android phone was moto g first gen then came oneplus 3t , asus zenfon 5z , and at last black shark 2 . Finally I decided to switch to ios since i own myself an ipad and MacBook pro . Trust me I regret nothing . The OS is so smooth like a hot knife through a butter . I am happy that i choose ios over android . I dont care much about customisations. All i need is good camera smooth os without any bloat wares . If you are looking for the same go for it

  
"
5.0 out of 5 stars,"









  
  
    
  This is my first iPhone. After being an Android enthusiast and loyalist for over a decade, poor Pixel design and besting camera of iPhone 11 made me switch to the walled garden. Coming from Samsung Galaxy S7 Edge I had my doubts on the LCD screen and low resolution, but believe me my doubts were unfounded. The screen on iPhone 11 is crisp and clear, with good color accuracy and balanced punch. I did a lot research comparing iPhone 11, the pro and max models as well, along with Note 10 and OnePlus 7T Pro. Comparing them side by side, iPhone 11 always came out on top in camera department - the most important criteria for me (which had made me choose S7 years ago). I also looked at iPhone XR, but the 11 offers substantial updates over XR.-----------------------************------------------------Here are the pros from the last few days of usage:1) Excellent battery life - I consistently end my day at 40+ %. All while I am still exploring the phone (and hence using it more).2) Dual camera system - the normal iPhone 11 makes the perfect compromise from the pro models - retaining the same primary sensor and wide angle sensor - I can live without the telephoto. Essentially the same quality as the pro. Pictures are true to life, accurate in color and great HDR. Low light performance is again top notch.3) A13 bionic and butter smooth experience. Never experienced lag free ui before - even 12GB RAM model Note 10 stuttered when testing.4) Promise of timely updates, straight from Apple. No OEM BS. This is an underrated and misunderstood parameter. I am paying comparable money for Android phones and getting latest OS after 6+ months and that too for only 2 years (followed by 1 year of security updates). Apple's promise of 5 year updates is reassuring - with increasing use of financial transactions on mobile getting security releases and bug fixes on day of release is critical.5) Build quality and design are unparalleled. Love the design - grows on you. Apple is a premium brand and you can feel the attention to detail in alignment of ports, ui elements, the milled camera cutout, etc.6) Gestures - Android does a piss poor job of this. Samsung's dumb implementation on Note 10 killed it for me. I don't need a split pill for the sake of it and call it Gestures. iOS does it so much better and in an intuitive style. I wonder how I was using my phone in now what feels like an archaic way through back button (and pixel's implementation is pathetic and confusing).7) Face ID is way more convenient that fingerprint and security unmatched on Android. I don't need to fiddle any more with my fingers to unlock and then navigate the phone. Seems Face ID and Gesture navigation complement each other to make a powerful and smooth user experience. I can navigate the phone instantly so my hands dont need to first fiddle with a fingerprint scanner and then shift the hold and focus to navigation. It's these small things that makes Apple what it is - a pleasurable experience.------------------------***********-----------------------Cons:1) LCD - The phone's biggest weakness is the screen. Don't get me wrong its an excellent LCD, only marred by lack of true blacks. Even then I am using the dark mode coz I like it.2) Photos app froze once for me when trying to share a large number of live photos on Whatsapp. Had to restart the phone to solve the issue. Hope this was an one off error.3) 5W charger - at this price it's fair to expect a fast charger, given the phone is capable of fast charging.4) Few apps that were free on Android are paid on iOS. I was surprised to find this. Nonetheless I bought the app as it was critical for me (didn't want to lose years of data from Android).5) Default zoom and text size make it difficult to read the text. Increasing either makes the screen seem less sharp.6) 3rd party keyboard - cannot be used in some apps. Only the pre-installed Apple keyboard shows up (maybe some security reason). This leads to poor trying experience. E.g. in the Outlook app SwiftKey never shows up. Can't get my head around this, as this breaks an otherwise smooth experience.--------------------************----------------------Final words - go for iPhone if you can afford it. Comparable Android flagships are way behind as an experience and complete package.***************************************Love the black color.***************************************Fun fact - tempered glass and case ordered an hour the phone were delivered the next morning and the phone was delivered late in the evening after continued follow up with customer care.

  
"
5.0 out of 5 stars,"









  
  
    
  Of course u r purchase a I phone but when u purchase phone on this cost they should give airpods....m expecting the pods but again having wired earphones .it means I spent again money for buying airpods...that is not fair with customers..but another side when u have the it's nice....nice phone

  
"
1.0 out of 5 stars,"









  
  
    
  This is a big scam. I received the iphone 11 yesterday and it turned out to be a defective piece . The audio doesn’t record when you are recording a video. Multiple other issues like phone not turning on even after being on full charge . So it says 10 days replacement on this. So I clicked on it and Amazon says we can’t do anything you should contact Apple . Apple says our service Centers are not having any slots so we can’t do anything you should contact amazon . What is this ? You torture a customer as soon as you make money . And that too for such en expensive phone . I demand a replacement for my phone right now Amazon ! Don’t play with people’s hard earned money . Guys stay away from this Apple days sale .

  
"
1.0 out of 5 stars,"









  
  
    
  May be my first negative review about the product & Amazon both. I was much elated to receive the iPhone 11 so fast, next day of dispatch i.e. 28/09/19, but the thing I got started heating up every now and then. Contacted Applecare, just to be consoled that it's quite normal. As it continued, tried to return the product by speaking to Amazon customer support but in vain. Some body called me back to convey that only Apple will decide which one to take back. Why is then Amazon took up the sacred duty of selling such an item which they can't exchange/ have no control ? The product developed new issues like proximity sensor malfunction and last but most importantly loosing mobile network every other minute(even had two software updates). It was handed over to the Apple ASP as the return window closed on 10/10/19 (what use it was for??) and diagnosed as having issues and has further been sent to Apple repair facility at Bengaluru. So I'm here w/out my first iPhone after using it(suffering for??) just a little over 2 weeks and the CREDIT GOES TO AMAZON !! Bravo, keep it up Amazon.

  
"
5.0 out of 5 stars,"









  
  
    
  My best purchase this year so far😍. I purchase most of the electronics from Amazon and this prime day sale was a cherry on top. Talking about the colour scheme- very pretty and different. Battery life is amazing, the display, the face recognition, everything is amazing. Iphones are pricey, but the processor and everything is just amazing. Please make sure that you update your iphones to their latest version for smooth functioning. Overall very much satisfied with this one. And this is my mom with the mirror selfie as she loved the colour and was very much excited to click. 💚

  
"
5.0 out of 5 stars,"









  
  
    
  From 5s to 11

  
"
5.0 out of 5 stars,"









  
  
    
  Pros:Camera quality is 09/10.Display 09/10Battery life 10/10Heating issue : I face no heating issueProduct genuineess : Checked on apple site it is original.Cons: charging speed very slow. Charger should be provided atleast 18 watt.Aneroid user face little bit difficulty to use IOS interface.

  
"
5.0 out of 5 stars,"









  
  
    
  Placed an order for iPhone 11 128gb on 29 September and thanks to Amazon they delivered the package on October 4Pros1 - Camera 🔥🔥 (This Dual Camera Setup is capable of in every lighting to give a best quality shots)2 - Battery Life (I am getting all-day of battery life Applications I use Most like ,WhatsApp, Instagram, snapchat, Facebook, YouTube, Netflix, Amazon prime video) ✌🏻3 - Performance 🔥🔥4 - Display Liquid Retina HD display (Don't Think it's a lower resolution Panel. This display is very Sharp And its color accuracy is Very Good)Cons1 - Fast Charger Should be Bundled in the box .2 - Ultra-wide angle Lens can't take shots in night mode.

  
"
1.0 out of 5 stars,"









  
  
    
  Just after i switched it on, it started producing so much heating even i cant hold it by hand. Later i tried YouTube, game, normal browsing and it has the same excessive heating issue. Seems defective piece. I need refund asap. I have not paid 70k for a defective phone. I am feeling like got scammed.Edit - I returned this phone and got refund from amazon and bought the same from flipkart ..and it got no issues .

  
"
1.0 out of 5 stars,"









  
  
    
  Provided with defective product .Struggling for replacement since then .There are so many hidden terms and conditions.It's my last order on Amazon

  
"
5.0 out of 5 stars,"









  
  
    
  This being my second Apple device. No, I haven't sold my kidney as I got this for about 58K. I have been an avid Android Fanboy using 1+ as my daily driver for the past 5 years. The switch using move to iOS and the entire transition using Drive, Photos etc.. It has been seamless. I may miss a thing or two about 1+ with what a stock Android would offer. Couple of my colleagues argued how good the latest 1+ phones are. Two things that 1+ will never be good at. Photography and Intermittent lag. Yes, a phone with 12 Gigs of ram lags!Now, off to the device.ProsThe device's build quality is amazing. The detail given in to every tiny little thing should be noted. Even the Sim tray is made out of metal.Speakers sound better than my previous phone.A couple of you might argue about LCD with lower resolution on the device. I certainly cannot differentiate that though. Color blind maybe!OS - There's no other mobile OS that is this speedy, updated on time basis and supports device for 5 long years. Yeah, you can root your phone and rock new Lineage OS on your Droid but the circumstances of rooting, Magisk cannot help Banking apps work.Camera - There are no other camera phones that are this good. Night mode is amazing. Such low light pictures turn out be so good. Note Huawei phones no longer have Google services yes you can sideload Play Store but that's still pain the arse. Next Pixel isn't going to be cheap either.ConsRemember an iPhone is always treated as an asset than a phone. Ask someone who has dropped his or her phone on a hard surface and the pain that it takes to have it repaired or replaced.Couple of them have pointed out that the device is a bit thick. Yes it is. Honestly slim phones cannot have more juice within. You have to sacrifice either of them.No 3.5MM means you can't charge and listen to music i.e. move on to wireless headphones.Overall an amazing phone that's worth every penny. And a phone that I'd be using for the next 5 years for sure just like my 1+ One The Legend. Electronic goods are always depreciating unlike Gold or Land and fits the needs of checking messages and making calls is all you need.

  
"
1.0 out of 5 stars,"









  
  
    
  If its just looks what you want then go ahead and buy...but its performance..then suggest you guys to back off.I observed back panel heating up issue especially while taking photos and using maps. [No, I have not put any additional back panels fyi].After spending 60K+ and seeing this kind of heating issue is completely unacceptable from a brand like Apple. I have approached Apple care [Service Request No: SKC4616] and they said they have to send the device to Bangalore  for further diagnosis. When I called just before writing this review, they are quoting they are not working today due to Sunday they are closed and blah blah...Apple wake up. Show some sense of urgency towards customer issues.Ok...folks its upto you to buy or not, just sharing my own experience so it will help who are thinking to buy this.

  
"
1.0 out of 5 stars,"









  
  
    
  Its my first iphone and now I’m feeling like I’ve wasted my money coz it has heating issues

  
"
1.0 out of 5 stars,"









  
  
    
  helloPlease dont take any apple products online , especially if the seller is Appario Retail Private Ltd.I bought iphone 11 last month and suudenly today (17/08/2020) the phone got switched off and not getting switched on again.It was neither damaged nor it got wet in rains . I am very furious because i thought its an apple product and product will be robust.  My first impression on apple products is worst becuase of online reseller.This online reseller dont send the correct product instead they will send defective pieces or old piesces.My loss is 60000 rs. These people are worst and i request other guys not to take apple products from online or from the above mentioned reseller.

  
"
